x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.8954592,-0.8954592,5.13431,5.113637,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1205041.0,448853.8,0.3724801061769018
-0.6728641,-0.6728641,5.248887,5.228214,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1208240.0,449247.4000000001,0.3718196712806896
-0.450269,-0.450269,5.363464,5.342791,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1207646.0,449641.2,0.37232864566907137
-0.2276739,-0.2276739,5.478041,5.457367,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1209321.0,451292.9000000001,0.3731787504118603
-0.00507874,-0.00507874,5.592617,5.571944,a11.7.a1.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1210985.0,451994.0999999999,0.37324500272650357
0.2175164,0.2175164,5.707194,5.686521,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1214489.0,452696.0999999999,0.37274615054335924
0.4401115,0.4401115,5.821771,5.801098,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1215375.0,448974.3,0.3694121564377973
0.6627066,0.6627066,5.936348,5.915674,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1216249.0,449885.7,0.3698960489423662
0.8853017,0.8853017,6.050924,6.030251,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1229550.0,450796.9000000001,0.36663567942203606
